Name	Value	Count
Akatonbo (Chuồn Chuồn Đỏ) - Tôn Dật Tiên	16	4
Al Fresco's	2118	520
Al Fresco's - An Dương Vương	56	14
Al Fresco's - Cộng Hòa	25	6
Al Fresco's - Đông Du	36	8
Al Fresco's - Mạc Đĩnh Chi	27	7
Al Fresco's - Mỹ Toàn	88	22
Al Fresco's - Nguyễn Thị Nghĩa	53	13
Al Fresco's - Trường Sơn	36	9
Al Fresco's - Xuân Thủy	24	6
Alan Coffee	6	2
Ali Foodcorner	124	31
Alice Tea & Dessert House	4	1
Alifoodcorner - Chung Cư Ngô Gia Tự	45	13
Allez Boo Restaurant & Pub	2	1
Alogiaocom - Cơm Văn Phòng Giao Tận Nơi	36	9
ALORASHOP21	0	8
Ẩm Thực Biển Xanh - Huỳnh Tấn Phát	4	1
Ẩm Thực Buffet Chay An Đông	17	4
Âm Thực Chay Hạt Bồ Đề	10	2
Ẩm Thực Chay Lạc Việt	20	5
Ẩm Thực Gấu Con - Bán Hàng Online	160	32
Ẩm Thực Góc Miền Trung	8	2
Ẩm Thực Hương Bắc	8	2
Ẩm Thực Muối Ớt Xanh	4	1
Ẩm Thực Nam Bộ	4	1
Ẩm Thực Nhà Bu - Bánh Bột Lọc Huế	8	2
Ẩm Thực Quê Nhà - Công Trường Quốc Tế	28	7
Ẩm Thực Sao Mai	16	4
Ẩm thực Sáu Bảnh	14	4
Ẩm Thực Siêu Thị Ốc	3	1
Ẩm thực sinh thái Làng Ta - KDC Trung Sơn	5	1
Ẩm Thực Vị Thủy - Nguyễn Ảnh Thủ	4	1
Ẩm Thực Xứ Mường	32	8
Amare Bakery	28	7
Amazon World - Cafe Bãi Biển	5	1
Amigo Restaurant - Beefsteak Hữu Nghị	115	23
AMOR - Nhà Hàng Tiệc Cưới - Cao Thắng	48	12
Amorê Coffee Take Away	44	11
Amory - Vincom Center B	33	11
Amory Ice Cream - Kem Aboong Hàn Quốc - Vincom Lê Thánh Tôn	10	3
Ampm - Restaurant & Cafe 	8	2
Amy 9 Karaoke 	26	12
An An Quán	5	1
An An Quán - Vĩnh Khánh	15	3
An An Spa	126	42
An Cafe & Restaurant - Vietnamese Cuisine	7	2
An Deli	55	15
Ăn Đêm Sài Gòn	124	31
Ăn Đêm SÀi Gòn - Giao Hàng Tận Nơi	8	2
An Dem SG	1871	514
Ăn Đêm SG - Giao Đồ Ăn Khuya	37	12
An Dessert	24	6
Ăn Kiêng LowCarb Dáng Việt - Shop Online	7	2
An kỳ's Bakery And Food	130	26
An Lac Vegetarian	1583	415
Ân Nam Gourmet - Hai Bà Trưng	14	4
An Nam Quán 	4	1
An Nam Quán - Đặc Sản Miền Trung	3	1
An Nam Quán - Gà lên mâm - Tú Xương	85	21
An Nam Quán - Nguyễn Bỉnh Khiêm	64	16
An Nhiên Coffee & Tea	81	20
An Nhiên Coffee & Tea 	3	1
An Restaurant - Nhà Hàng Bên Sông	966	322
Ăn Sáng Ốc Ken	8	2
An Spa - Lê Văn Sỹ	72	24
An Sushi - Ngô Văn Năm	52	13
An Tam	2706	660
Ấn Tâm - Nhà Hàng Ẩm Thực Chay	27	6
Ấn Tượng Karaoke - Dân Chủ	96	24
Ăn vặt - Cá viên chiên	8	2
Ăn Vặt - Hồ Bá Kiện	29	7
Ăn Vặt - Kà Lem 3T	36	9
Ăn vặt 136 Nguyễn Tri Phương	44	11
Ăn Vặt 2 Chị Em - TPHCM	45	9
Ăn vặt 436 	3	1
Ăn vặt Ann Jamie	55	11
Ăn Vặt Ba Tròn - Phan Xích Long	80	18
Ăn vặt bé rùa	36	9
Ăn vặt Bùi Thị Xuân	0	6
Ăn Vặt Buurin's House	60	14
Ăn văt chị mập	220	44
Ăn vặt cô Hằng - Bùi Hữu Nghĩa	3	1
Ăn Vặt Cô Tấm	3	1
Ăn vặt cổng trường Marie Curie	76	19
Ăn Vặt Dốc Sương Mù - Lê Quý Đôn	18	4
Ăn Vặt Food Shake - Bánh Mì Nướng & Xoài Lắc	7	2
Ăn Vặt Giao Tận Nơi  - Quang Trung	4	1
Ăn vặt Hà Lê	20	4
Ăn vặt HK shop - Huỳnh Văn Bánh	5	1
Ăn Vặt Hồ Con Rùa	201	51
Ăn Vặt Khô Gà Ớt Rặc Gon	92	23
Ăn vặt Kitty	15	13
Ăn Vặt Kỳ Đồng	15	5
Ăn Vặt Làng Đại Học	6	2
Ăn vặt Luvata	33	11
Ăn vặt mimi 	36	12
Ăn vặt My Trần	28	7
Ăn Vặt Nana	36	12
Ăn Vặt Ngon - Cách Mạng Tháng 8	8	2
Ăn Vặt Ngon Giá Rẻ - Hồ Bá Kiện	6	2
Ăn Vặt Ngon Lạ	240	48
Ăn Vặt Ngon Lạ - Bánh Trứng Cút - Shop Online	7	2
Ăn Vặt Ngon Lạ - Tô Hiến Thành	42	10
Ăn vặt ngon mẹ Bân Bân	30	10
Ăn Vặt Ngon, Giá Rẻ Như Quỳnh	4	1
Ăn vặt nhập khẩu	55	11
Ăn vặt nhập khẩu 	65	13
Ăn Vặt Như Quỳnh	85	17
Ăn vặt Oanh Vothihoang	0	8
Ăn Vặt Oh! Mr Bean - Tô Hiến Thành	26	8
Ăn vặt Online	110	59
Ăn Vặt Online - Nơ Trang Long	30	6
Ăn Vặt Panda	16	4
Ăn vặt Phương Quỳnh	25	5
Ăn Vặt Quán Ngon	452	99
Ăn Vặt Quán Ngon - Cách Mạng Tháng 8	14	4
Ăn Vặt quán ngon - Chi nhánh 2	48	16
Ăn Vặt Rio - Shop Online	8	2
Ăn Vặt Ryan Ji 	0	3
Ăn Vặt Sài Thành - Kha Vạn Cân	14	4
Ăn Vặt Sài Thành Kha Vạn Cân	48	12
Ăn vặt SD 	30	6
Ăn vặt Singapore	13	3
Ăn vặt sun 	146	33
Ăn Vặt T Sweet	0	2
Ăn vặt tại gia	30	6
ĂN VẶT TEEN TEEN 	90	18
Ăn Vặt Thiên Ân - Bành Văn Trân	7	2
Ăn vặt Thy Thy	20	4
Ăn vặt Tị Quỳnh - Hồ Xuân Hương	0	12
Ăn vặt Tiểu Duyên	52	13
Ăn vặt Tiny	40	20
Ăn vặt Tồ nùn	0	8
Ăn Vặt Tropical	21	7
Ăn Vặt Trường Võ Thành Trang - Tân Quý	3	1
Ăn vặt Tú Cherry	85	17
Ăn vặt tuổi thơ - vinhto food 	20	4
Ăn Vặt Xơi Xơi	33	16
Ăn vặt Yatai	12	3
Ăn Vặt-Q12	9	6
Ăng Tô Quán - Ăn Vặt	32	8
Angel In Us Coffee - Lotte Mart Lê Đại Hành	16	7
Angel In Us Coffee - Lotte Mart Lê Đại Hành 	8	2
Angel In Us Coffee - Lotte Mart Nguyễn Hữu Thọ	40	10
Angel In Us Coffee - Nguyễn Đức Cảnh	93	20
Angel In Us Coffee - Tôn Dật Tiên	40	12
Angolo Caffe - Novare	85	17
Anh Chị Em - Ăn Vặt	15	4
Anh chị em - Hoà Hảo 	64	16
Anh Coffee - Nguyễn Thái Học	24	6
Anh Coffee - Trần Hưng Đạo	118	34
Ánh Dương - Massage Body Khiếm Thị	678	148
Ánh Hồng - Bún Chả Hà Nội	9	3
Anh Thư - Tiệc Tận Nơi	1032	258
Anh Tư Gà Nướng	58	17
ANH TUK - Ẩm Thực Thái Lan	8	2
Anh Tuk Restaurant	38	9
Ann Quán	7	2
Anna Sanctuary Wellness Spa - Tajmasago	902	242
Anna Sweet Bakery - Tiệm Bánh Online	28	7
Annam Cafe Gourmet	922	365
Annie’s Pizza - Đinh Tiên Hoàng	16	4
Annz Japanese Dining	2987	680
Apple Kids Club - Khu Vui Chơi Trẻ Em	20	8
Apple Kids Club - Khu vui chơi trẻ em - Nguyễn Văn Linh	125	38
Apple Spa	556	186
April Cafe - Sư Vạn Hạnh	28	7
AQ Cafe	1	1
Aqua Palace 	770	220
Aqua Palace - Hội Nghị & Tiệc Cưới	97	32
Aqua Palace - Tiệc Cưới	7	2
Aqua Spa - Nguyễn Trọng Tuyển	2264	558
Aquamilk Shop	1053	234
Arirang BBQ - Ẩm Thực Hàn Quốc	8	2
Arlon Coffe	48	12
Arlon Coffee	12	3
Arlon Coffee - Lý Thường Kiệt	6	2
Arlon Coffee - Sư Vạn Hạnh	12	4
Aroi Dessert Cafe - Đề Thám	290	75
Aroli Coffee	29	6
Aroma Rooftop - Phạm Hồng Thái	80	16
Art Tea	8	2
Artinus 3D Gallery	1988	496
ARTINUS Bảo Tàng Tranh 3D	24	6
Ashoka	2923	740
Ashura Shop	0	1
Asian Kitchen	8945	1960
Asian Ruby Center Point Hotel	147	42
Asian Town - Buffet Lẩu Phố Á	9	3
ẤT Sửu - Bún Đậu Mắm Tôm	30	8
Atelier Des Reves	6667	1477
Au Bon Moment Cake	16	4
Au Manoir De Khai - Ngôi nhà nhỏ	16	4
Au Pagolac - Trần Hưng Đạo	36	9
Au Parc	12707	2882
Au Parc - Món Á & Âu	112	25
Augusta Vung Tau Coffee	5	1
Auntie Anne’s - Vincom Center	56	13
Avatar Karaoke - Phạm Viết Chánh	814	231
Awesome Coffee - Mỹ Toàn 3	24	6
Ayame Japanese Matcha	40	10
B Coffee - Bùi Viện	144	30
B&A Cafe - Bờ Sông Sài Gòn	7	2
B.O.C Homemade BBQ	71	15
B3 Steakhouse & Craft Beer	8	2
Bà Bắc - Bánh Tráng Cuốn Trộn	45	13
Ba Bep Beo - Phú Nhuận	15	3
Ba Chấm - Hủ Tiếu & Tàu Hũ	15	3
Bà Cô Lốc Cốc - Nhà Hàng Ốc Độc Lạ	24	6
Ba Con Cừu - Cao Thắng	17	5
Ba Con Cừu - Cao Thắng - Ẩm thực Mông Cổ	108	27
Ba Con Cừu - Phan Xích Long	32	8
Ba con cừu Nguyễn Chí Thanh	32	9
Ba Con Sóc - BBQ & Sushi	103	26
Bà Hoa - Đặc Sản Huế	4	1
Ba Hoàng - Hủ Tiếu Nam Vang	52	16
Ba Hưng Quán	16	4
Ba Lá Trà	40	10
Ba Lá Trà - Nguyễn Tri Phương	22	6
Bà Lâm - Gỏi vịt - Mai Văn Vĩnh	5	1
Ba Le Bakery	345	69
Bà Nội Trợ Tài Danh	1620	540
Bà O - Bún Bò Huế	8	2
Bà Tám - Đào Duy Từ	16	4
Bà Tư - Hủ Tiếu Miền Tây	9	2
Baba's Kitchen	13896	3076
Babo Cafe bò sát - Phạm Văn Hai	32	8
Baby Spoon - Phan Chu Trinh	43	11
Bắc Kâm - Bún Tôm Hạ Long	8	2
Bắc Việt Cafe - Trần Quang Khải	30	6
Bạch Kim - Tiệc Cưới & Hội Nghị	476	136
Bạch Kim - Tổ Chức Tiệc Cưới	4	1
Bạch tuộc nướng - Hai Bà Trưng	22	10
Bạch tuộc nướng - Tôn Đản	5	1
Bạch Tuộc Nướng 115	4	2
Bách Việt	48	12
Bách Việt - Tiệc Cưới & Hội Nghị	192	48
Bahdja Couscous House	455	100
Bahdja Restaurant	9408	2090
Bãi Biển 30 Tháng 4 - Cần Giờ	1354	340
Bake n' Shake	0	12
Baker's House	0	1
Bakers' Mart - Siêu Thị Ngành Bánh	1016	254
Bamboo Dimsum - Bitexco	8	2
Bamboo Dimsum - Crescent Mall	7	2
Bamboo Dimsum - Cresent Mall	40	10
Bamboo Sushi	3188	821
Bamboo Sushi - Hoa Sứ	45	9
Bami Station - Chuyên đặc sản Phú Yên	48	12
Ban Mai Cafe	4	2
Ban Mê - Quán Bánh Ướt Thịt Nướng	36	9
Bana Bakery	14	4
Banana's Juice Shop	40	10
Bằng Hữu	9	3
Bằng Hữu 	1064	266
Bâng Khuâng Cafe	67	17
Bằng Lăng - Karaoke 	20	8
Bằng Lăng Tím Cafe	4	1
Báng tráng tây ninh TNF	12	3
Bang! - Cafe & Game	72	18
Bánh Bá Trạng Tết Đoan Ngọ	15	3
Bánh Bạch Tuộc - Ba Cu	20	4
Bánh Bạch Tuộc - Mì Udon	9	4
Bánh Bạch Tuộc Takoyaki	13	4
Bánh Bạch Tuộc Takoyaki - Ngô Tất Tố	7	2
Bánh Bạch Tuột Nướng Takoyaki	8	2
Bánh Bao Chiên - Hoàng Hoa Thám	5	2
Bánh Bao Kim Sa - Lạc Long Quân - Shop Online	197	44
Bánh Bao Minh Hảo 2	54	18
Bánh Bao Minh Ngọc	4	1
Bánh bao sốt trứng muối	0	5
Bánh Bao Thọ Phát - Nguyễn Tri Phương	225	55
Bánh Bèo 53	6	2
Bánh Bèo Chén D2	8	2
Bánh Bèo Chén D5	30	8
Bánh bèo chợ Bến Thành - Cửa Tây	32	8
Bánh Bèo Dì Hà	9	2
Bánh Bèo Huế - Chợ Bến Thành	7	2
Bánh bèo Huế - Nguyễn Khắc Nhu	39	8
Bánh bèo Huế chợ Bàn Cờ	25	5
Bánh Bèo Huế Ngọc Trâm	122	28
Bánh bèo Lá	10	2
Bánh bèo Thanh Nga	4	1
Bánh bèo Thanh Nga - Kỳ Đồng	11	3
Bánh Bèo Thanh Nga Chi Nhánh 3	0	5
Bánh bèo xếp chén - Rạch Bùng Binh	4	1
Bánh Bò Lá Dứa	16	4
Bánh Bò Thốt Nốt - Lê Văn Sỹ	10	2
Bánh bò thốt nốt - Nguyễn Sơn	72	18
Bánh Bò Thốt Nốt - Nguyễn Trãi	8	2
Bánh Bò Thốt Nốt Nguyễn Sơn - Giao Hàng Tận Nơi	14	4
Bánh bò thốt nốt nước cốt dừa Gò vấp	19	4
Bánh bò thốt nốt Ravens	96	24
Bánh Bông Lan Bubble	0	7
Bánh bông lan Hai Tây - Lạc Long Quân	4	1
Bánh Bông Lan Phô Mai Trứng Muối "Ấy" - Chu Văn An	9	2
Bánh Bông Lan Trứng Muối - Tờ Rang	15	3
Bánh Bông Lan Trứng Muối - Tờ Rang - Đường C1	13	4
Bánh bông lan trứng muối ( ly nguyễn)	95	19
Bánh bông lan trứng muối Calicious - Shop online	4	1
Bánh Bông Lan Trứng Muối Lanh Nguyen - Shop Online	8	2
Bánh bông lan trứng muối My Diễm	64	16
Bánh Bông Lan Trứng Muối Sunny Bakery - Shop Online	16	4
Bánh bông lan, bánh ngọt cái loại TL shop	0	1
Bánh Bột Lọc Hồng Phương	4	1
Bánh bột lọc Huế	0	6
Bánh bột, gỏi cuốn - Cao Đạt	4	1
Bánh Cá Nướng Rove - Taiyaki Nhật Bản	44	11
Bánh Cam - Cách Mạng Tháng 8	8	2
Bánh Căn 51	5	1
Bánh căn Bảnh Em 	3	1
Bánh Căn Dũng Sìn	4	1
Bánh căn Lệ - Đà Lạt 	36	9
Bánh Căn Phan Văn Trị	5	1
Bánh Căn Sang	3	1
Bánh canh - Ngô Quyền	24	6
Bánh canh - Trần Văn Ơn	16	8
Bánh Canh & Bún Chả Cá Quy Nhơn - Nguyễn Thái Sơn	7	2
Bánh canh 136 - Hậu Giang	9	2
Bánh canh 37	9	2
Bánh canh A Vừng	4	1
Bánh Canh Bò - Lý Chính Thắng	4	1
Bánh Canh Bò Viên Nguyễn Văn Nguyễn	21	7
Bánh Canh Bột Gạo - Thảo Điền	4	1
Bánh Canh Cá Lóc - Trường Sa	6	2
Bánh Canh Cá Lóc O Nhớ	4	1
Bánh canh cá lóc Xô Viết Nghệ Tĩnh - Bình Thạnh	40	10
Bánh canh chả cá Nha Trang - Đường số 11	35	8
Bánh Canh Cua	8	2
Bánh Canh Cua - Calmette	24	12
Bánh Canh Cua - Lê Văn Sỹ	5	1
Bánh Canh Cua - Tô Hiến Thành	16	4
Bánh Canh Cua - Tôn Thất Đạm	8	2
Bánh Canh Cua - Trần Khắc Chân	103	29
Bánh canh cua - Vĩnh Viễn	4	1
Bánh Canh Cua - Võ Văn Tần	4	1
Bánh Canh Cua 14 - Trần Bình Trọng	95	25
Bánh canh cua 320 Võ Văn Tần	28	7
Bánh canh cua bà Dạng	39	8
Bánh Canh Cua Bột Gạo	7	2
Bánh canh cua Dung - Võ Văn Tần	3	1
Bánh Canh Cua E22	4	1
Bánh Canh Cua Ghẹ Phú Quốc	4	1
Bánh canh cua ghẹ Tứ Ký	12	3
Bánh Canh Cua Gia Truyền - Vĩnh Viễn	38	10
Bánh Canh Cua Gia Truyền 79 - Vĩnh Viễn	125	25
Bánh Canh Cua Hoàng Lan - Vĩnh Viễn	62	17
Bánh canh cua Hương Nam	4	1
Bánh canh cua mề gà - Minh Phụng	4	1
Bánh canh cua Ngọc Trinh	14	4
Bánh canh cua Ngọc Trinh - 865 Trần Xuân Soạn	12	3
Bánh Canh Cua Út Lệ - Tô Hiến Thành	35	9
Bánh canh đêm Chợ Đầm	24	6
Bánh canh gánh vỉa hè - Nguyễn Thái Học	5	1
Bánh Canh Ghẹ - Cầu Bông	31	8
Bánh Canh Ghẹ - Giang Ghẹ	40	11
Bánh Canh Ghẹ Ba Sạch	81	23
Bánh Canh Ghẹ Bảy Liên	24	6
Bánh Canh Ghẹ Gia Nguyễn	20	5
Bánh Canh Ghẹ Muối Ớt Xanh -  Đinh Tiên Hoàng	44	11
Bánh Canh Ghẹ Muối Ớt Xanh - Nguyễn Tri Phương	23	7
Bánh Canh Giò Heo - Bình Thới	7	2
Bánh Canh Giò Heo - Lê Quang Định	13	4
Bánh canh giò heo Long Xuyên	28	7
Bánh Canh Hiền - Hoàng Hoa Thám	25	5
Bánh canh sáng 	4	1
Bánh Canh Vịt Cai Lậy	4	1
Bánh Canh Xắt Tôm Thịt	5	1
Bánh Chuối Nướng - Trần Khắc Chân	9	2
Bánh Churros - Bùi Viện	5	1
Bánh Crepe - Vương Chiêu Quân 	40	8
Bánh Crepe Sầu Riêng Suri - Shop Online	140	35
Bánh Crepe Sầu Riêng Suri Hồ Chí Minh	40	9
Bánh của An An	5	1
Bánh cuốn Bắc - Thạch Lộc	8	2
Bánh cuốn chay An Hoa 	4	1
Bánh cuốn Gạo	21	7
Bánh Cuốn Hải Nam - Cao Thắng	62	21
Bánh Cuốn Minh Tú	13	4
Bánh cuốn Nhớ	4	1
Bánh Cuốn Nhớ - Lê Văn Sỹ	8	2
Bánh Cuốn Nóng - Nguyễn Thị Nhỏ	16	4
Bánh Cuốn Nóng - Tô Hiến Thành	9	2
Bánh Cuốn Nóng Hồng Phát	8	2
Bánh Cuốn Nóng Xuân Hường	4	2
Bánh cuốn Song Mộc	0	5
Bánh Cuốn Tây Hồ - Đinh Tiên Hoàng	4	2
Bánh cuốn Tây Hồ - Phan Xích Long	24	6
Bánh cuốn Thiên Hương	36	9
Bánh Cuốn Thiên Hương - 3 Tháng 2	14	7
Bánh cuốn Thiên Hương - Minh Khai	4	1
Bánh cuốn thịt tôm	5	1
Bánh Cuốn Trứng - Vạn Kiếp	14	4
Bánh cuốn Việt	4	1
Bánh Đa Cua - Tô Hiến Thành	8	2
Bánh Đa Cua Hải Phòng - Trường Sơn	8	2
Bánh Đa Cua, Lẩu Cua Đồng - Đặc Sản Hải Phòng	3	1
Bánh đa trộn - Phan Xích Long	4	1
Bánh Đập - Đặc Sản Quảng Ngãi	18	5
Bánh Doraemon Topcake 	5	1
Bánh Đúc Ngã 6 Dân Chủ	40	8
Bánh Đúc Nóng Bà Già	88	23
Bánh Đúc Nóng Bà Già - Cửu Long	8	2
Bánh đúc nóng Bà Già - Cửu Long 	4	1
Bánh đúc nóng Hương Quê	48	12
Bánh Đúc Nóng Singapore - Đặng Văn Ngữ	14	4
Bánh đúc nóng Tỷ Muội	40	8
Bánh Đúc Phan Đăng Lưu	64	14
Bánh Đúc Phan Đăng Lưu - Ngon tuyệt bánh đúc	80	21
Bánh đúc Singapore	56	14
Bánh Ép Huế - Nguyễn Thị Minh Khai	4	1
Bánh ép Huế - Trần Văn Đang	18	6
Bánh Flan - Cầu Chữ Y	5	1
Bánh Flan - Hòa Hảo	5	2
Bánh Flan - Tân Hoà Đông	3	1
Banh Flan chị Giàu	10	2
Bánh flan chị Mười	50	10
Bánh Flan Kem Su Yen's - Nguyễn Thiện Thuật	0	1
Bánh Flan Ngọc Nga - Đường 20 Thước	52	13
Bánh Flan Ngọc Nga 2 - 134/56, Đường 20 Thước	4	1
Bánh Flan Quả Trứng - Bán Hàng Online	16	4
Bánh Flan Quen Mà Lạ	7	2
Bánh Flan Quỳnh Hoa	21	7
Bánh Flan Thập Cẩm	55	12
Bánh Flan Xinh	27	9
Bánh Flan, Bánh Bèo - Chợ Hạnh Thông Tây	6	2
Bánh flan, bánh tráng - Đoàn Văn Bơ	40	10
Bánh Gạo Cay - Lý Thái Tổ	48	12
Bánh gạo chiên lắc phô mai	40	8
Bánh Gạo Lắc Phô Mai	8	2
Bánh gạo lắc Sóc Chuột - Nguyễn Đình Chiểu	12	3
Bánh giò - Thụy Khuê	3	1
Bánh giò dì Linh	0	5
Bánh Gối Hà Nội - Âu Dương Lân	4	1
Bánh Hẹ - Chợ Xã Tây	5	1
Bánh Hỏi Lòng - Mũi Né	4	1
Bánh Hot Dog Mini Hình	8	2
Bánh Hotdog - Đội Cung	6	2
Bánh kem sầu riêng Lê Đình Cẩn	5	1
Bánh kẹo nhập khẩu - Hai bà Trưng	28	7
Bánh khọt Cô Ba - Trần Cao Vân	16	4
Bánh Khọt Cô Ba Vũng Tàu - Cao Thắng	44	13
Bánh Khọt Gốc Vú Sữa	2	1
Bánh khọt Thanh Phương - Ba Tháng Hai	4	1
Bánh Khọt Vũng Tàu Khanh - Đồng Nai	12	3
Bánh lọc chiên, bánh tôm chiên -Thanh Đa	4	1
Bánh macaron	25	5
Bánh Mì - Xôi Gà 56	64	16
Bánh Mì & Sữa Bắp - Bùi Thị Xuân	14	4
Banh Mi 123	352	96
Bánh mì 3 cô - Huỳnh Mẫn Đạt	4	1
Banh Mi 37 Nguyen Trai	8920	2027
Bánh mì 61 Núi Trúc	21	7
Bánh mì bà Hai - Lê Quang Sung	5	1
Bánh Mì Baku	20	4
Bánh mì Bảy Hổ	24	6
Bánh Mì Bì 172 - Trần Hưng Đạo	7	2
Banh Mi Bistro	1420	482
Bánh Mì Bò Nướng Bơ Cambodia	22	6
Bánh Mì Chan	8	2
Bánh Mì Chảo - Đường số 3A	28	7
Bánh Mì Chảo - Nam Kì Khởi Nghĩa	4	1
Bánh Mì Chảo & Món Ngon Hoa Việt - Quán Cô 3 Hậu	14	4
Bánh Mì Chảo 176	6	2
Bánh Mì Chảo Hà Nội	4	1
Bánh mì chảo, bò né - Phan Bội Châu	4	1
Bánh Mì Chay 836 	4	1
Bánh Mì Chè Lúa + Mía	0	6
Bánh Mì Chim Chạy	16	4
